"North_cor","East_cor","WaterSE","Code","Point","VertPrec"
1841933.13,6056921.935,7.802,"echo","1407",0.02932
1841934.598,6056921.076,7.789,"echo","1408",0.02933
1841936.742,6056920.35,7.775,"echo","1409",0.02933
1841938.687,6056919.712,7.796,"echo","1410",0.02934
1841940.294,6056918.717,7.796,"echo","1411",0.03169
1841942.26,6056917.807,7.754,"echo","1412",0.02934
1841944.368,6056916.984,7.779,"echo","1413",0.02955
1841945.827,6056915.536,7.787,"echo","1414",0.02935
1841947.156,6056914.293,7.762,"echo","1415",0.02935
1841948.978,6056912.993,7.792,"echo","1416",0.02935
1841950.578,6056911.961,7.794,"echo","1417",0.02935
1841952.311,6056910.945,7.764,"echo","1418",0.02935
1841954.596,6056910.093,7.784,"echo","1419",0.02955
1841956.627,6056909.445,7.789,"echo","1420",0.02959
1841958.75,6056909.123,7.79,"echo","1421",0.02957
1841960.605,6056908.703,7.826,"echo","1422",0.02936
1841962.327,6056907.956,7.768,"echo","1423",0.02936
1841964.347,6056907.717,7.764,"echo","1424",0.02936
1841966.266,6056907.704,7.785,"echo","1425",0.02936
1841967.931,6056907.882,7.786,"echo","1426",0.02937
1841969.403,6056908.047,7.772,"echo","1427",0.02957
1841970.702,6056908.3,7.785,"echo","1428",0.02938
1841971.833,6056908.624,7.813,"echo","1429",0.02938
1841972.738,6056909.024,7.807,"echo","1430",0.02938
1841972.958,6056909.636,7.856,"echo","1431",0.02967
1841972.934,6056909.867,7.8,"echo","1432",0.02938
1841972.465,6056910.533,7.82,"echo","1433",0.02939
1841971.846,6056911.126,7.823,"echo","1434",0.02939
1841971.679,6056911.363,7.827,"echo","1435",0.02994
1841972.154,6056912.097,7.777,"echo","1436",0.02939
1841971.62,6056913.257,7.788,"echo","1437",0.03005
1841970.726,6056914.194,7.821,"echo","1438",0.03008
1841970.527,6056915.766,7.776,"echo","1439",0.02965
1841970.331,6056917.182,7.827,"echo","1440",0.02967
1841969.183,6056918.592,7.808,"echo","1441",0.02942
1841967.914,6056919.744,7.795,"echo","1442",0.02942
1841966.83,6056920.812,7.845,"echo","1443",0.02942
1841965.846,6056922.15,7.825,"echo","1444",0.0296
1841963.871,6056922.798,7.83,"echo","1445",0.03042
1841962.289,6056923.388,7.841,"echo","1446",0.02992
1841960.834,6056924.885,7.74,"echo","1447",0.02997
1841959.069,6056925.579,7.729,"echo","1448",0.03093
1841957.253,6056925.784,7.841,"echo","1449",0.03011
